deployment_project_reference,datacenter_reference,deployment_id,deployment_guid,receiver_manufacturer,receiver_model,receiver_serial_number,latitude,longitude,time,recovery_datetime_utc,array_name,receiver_reference_type,receiver_reference_id
JBC,OTN-Global,JBC-SOUTHERN BAY 1-VR2-5959-2,OTN-GlobalJBCJBC-SOUTHERN BAY 1-VR2-5959-2,VEMCO,VR2,5959,48.47257,-53.54178,2006-06-09T15:10:00Z,2007-07-04T17:45:00Z,JBC,ManmadePlatform,JBC_JBC-SOUTHERN BAY 1
JBC,OTN-Global,JBC-SOUTHERN BAY 1-VR2-5959-3,OTN-GlobalJBCJBC-SOUTHERN BAY 1-VR2-5959-3,VEMCO,VR2,5959,48.47187,-53.5414,2007-07-04T18:00:00Z,1900-01-01T00:00:00Z,JBC,ManmadePlatform,JBC_JBC-SOUTHERN BAY 1
JBC,OTN-Global,JBC-CAPE BROYLE 2-VR2-5960-1,OTN-GlobalJBCJBC-CAPE BROYLE 2-VR2-5960-1,VEMCO,VR2,5960,47.06158,-52.82482,2008-06-02T18:30:00Z,2009-05-14T17:31:00Z,JBC,ManmadePlatform,JBC_JBC-CAPE BROYLE 2
JBC,OTN-Global,JBC-NEWMAN SOUND 2-VR2-5961-1,OTN-GlobalJBCJBC-NEWMAN SOUND 2-VR2-5961-1,VEMCO,VR2,5961,48.63318,-53.71527,2005-12-01T23:00:00Z,2006-06-06T22:31:00Z,JBC,ManmadePlatform,JBC_JBC-NEWMAN SOUND 2
JBC,OTN-Global,JBC-NEWMAN SOUND 2-VR2-5961-2,OTN-GlobalJBCJBC-NEWMAN SOUND 2-VR2-5961-2,VEMCO,VR2,5961,48.6319,-53.71793,2006-06-06T22:46:00Z,2007-06-01T15:15:00Z,JBC,ManmadePlatform,JBC_JBC-NEWMAN SOUND 2
JBC,OTN-Global,JBC-NEWMAN SOUND 2-VR2-5961-3,OTN-GlobalJBCJBC-NEWMAN SOUND 2-VR2-5961-3,VEMCO,VR2,5961,48.63175,-53.71778,2007-06-01T15:30:00Z,2007-11-07T19:45:00Z,JBC,ManmadePlatform,JBC_JBC-NEWMAN SOUND 2
JBC,OTN-Global,JBC-NEWMAN SOUND 2-VR2-5961-5,OTN-GlobalJBCJBC-NEWMAN SOUND 2-VR2-5961-5,VEMCO,VR2,5961,48.62583,-53.7245,2008-06-24T17:45:00Z,2008-11-24T00:08:00Z,JBC,ManmadePlatform,JBC_JBC-NEWMAN SOUND 2
JBC,OTN-Global,JBC-NEWMAN SOUND 2-VR2-5961-6,OTN-GlobalJBCJBC-NEWMAN SOUND 2-VR2-5961-6,VEMCO,VR2,5961,48.63283,-53.71567,2008-11-24T00:15:00Z,2009-06-04T13:45:00Z,JBC,ManmadePlatform,JBC_JBC-NEWMAN SOUND 2
JBC,OTN-Global,JBC-NEWMAN SOUND 2-VR2-5961-4,OTN-GlobalJBCJBC-NEWMAN SOUND 2-VR2-5961-4,VEMCO,VR2,5961,48.63173,-53.71815,2007-11-07T20:00:00Z,2008-06-24T17:44:00Z,JBC,ManmadePlatform,JBC_JBC-NEWMAN SOUND 2
JBC,OTN-Global,JBC-EAST RANDOM HEAD 2-VR2-5962-3,OTN-GlobalJBCJBC-EAST RANDOM HEAD 2-VR2-5962-3,VEMCO,VR2,5962,48.079,-53.55855,2008-11-12T22:45:00Z,2009-11-15T13:40:00Z,JBC,ManmadePlatform,JBC_JBC-EAST RANDOM HEAD 2
JBC,OTN-Global,JBC-NW ARM 2-VR2-5962-1,OTN-GlobalJBCJBC-NW ARM 2-VR2-5962-1,VEMCO,VR2,5962,48.09153,-53.69583,2005-09-30T14:37:00Z,2006-04-30T20:20:00Z,JBC,ManmadePlatform,JBC_JBC-NW ARM 2
JBC,OTN-Global,JBC-EAST RANDOM HEAD 2-VR2-5962-2,OTN-GlobalJBCJBC-EAST RANDOM HEAD 2-VR2-5962-2,VEMCO,VR2,5962,48.07843,-53.55387,2008-07-03T19:00:00Z,2008-11-12T22:40:00Z,JBC,ManmadePlatform,JBC_JBC-EAST RANDOM HEAD 2
JBC,OTN-Global,JBC-NW ARM 2-VR2-5962-2,OTN-GlobalJBCJBC-NW ARM 2-VR2-5962-2,VEMCO,VR2,5962,48.09153,-53.69583,2006-04-30T20:35:00Z,2006-09-15T14:33:00Z,JBC,ManmadePlatform,JBC_JBC-NW ARM 2
JBC,OTN-Global,JBC-NW ARM 2-VR2-5962-3,OTN-GlobalJBCJBC-NW ARM 2-VR2-5962-3,VEMCO,VR2,5962,48.09143,-53.69517,2006-09-15T14:48:00Z,2006-11-29T19:50:00Z,JBC,ManmadePlatform,JBC_JBC-NW ARM 2
JBC,OTN-Global,JBC-BONAVISTA 1-VR2-5962-18,OTN-GlobalJBCJBC-BONAVISTA 1-VR2-5962-18,VEMCO,VR2,5962,48.65017,-53.1376,2008-06-22T01:10:00Z,2008-06-25T19:55:00Z,JBC,ManmadePlatform,JBC_JBC-BONAVISTA 1
JBC,OTN-Global,JBC-CHANDLER REACH 1-VR2-5964-2,OTN-GlobalJBCJBC-CHANDLER REACH 1-VR2-5964-2,VEMCO,VR2,5964,48.49183,-53.76948,2006-06-03T19:46:00Z,2007-07-04T23:45:00Z,JBC,ManmadePlatform,JBC_JBC-CHANDLER REACH 1
JBC,OTN-Global,JBC-CHANDLER REACH 1-VR2-5964-3,OTN-GlobalJBCJBC-CHANDLER REACH 1-VR2-5964-3,VEMCO,VR2,5964,48.4915,-53.76967,2007-07-05T00:00:00Z,2007-11-08T15:46:00Z,JBC,ManmadePlatform,JBC_JBC-CHANDLER REACH 1
JBC,OTN-Global,JBC-CHANDLER REACH 1-VR2-5964-5,OTN-GlobalJBCJBC-CHANDLER REACH 1-VR2-5964-5,VEMCO,VR2,5964,48.48935,-53.77268,2008-06-23T11:50:00Z,2008-11-22T18:00:00Z,JBC,ManmadePlatform,JBC_JBC-CHANDLER REACH 1
JBC,OTN-Global,JBC-CHANDLER REACH 1-VR2-5964-1,OTN-GlobalJBCJBC-CHANDLER REACH 1-VR2-5964-1,VEMCO,VR2,5964,48.4795,-53.7935,2005-11-23T16:01:00Z,2006-06-03T19:31:00Z,JBC,ManmadePlatform,JBC_JBC-CHANDLER REACH 1
JBC,OTN-Global,JBC-CHANDLER REACH 1-VR2-5964-4,OTN-GlobalJBCJBC-CHANDLER REACH 1-VR2-5964-4,VEMCO,VR2,5964,48.49232,-53.76912,2007-11-08T16:01:00Z,2008-06-23T11:49:00Z,JBC,ManmadePlatform,JBC_JBC-CHANDLER REACH 1
